epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.3608,1.68773,2.78717,3.2836,0.4231,0.63017,0.55557,0.24343,1.45009,2.56344,3.37183,0.000364722,0.000364722,0.000364722
2,35.2319,1.44098,1.72491,2.91196,0.80205,0.8049,0.83936,0.4453,1.46962,1.58228,3.17166,0.000727779,0.000727779,0.000727779
3,49.1799,1.4079,1.50112,2.82786,0.80383,0.81218,0.84029,0.42549,1.44246,1.37889,3.13454,0.0010835,0.0010835,0.0010835
4,63.0205,1.32568,1.37794,2.75796,0.74991,0.77805,0.7965,0.4243,1.42383,1.50388,3.12346,0.001078,0.001078,0.001078
5,76.8867,1.31424,1.29261,2.7261,0.87071,0.8109,0.83711,0.46353,1.38024,1.24548,3.06798,0.001067,0.001067,0.001067
6,90.7255,1.3262,1.25837,2.74701,0.77559,0.69626,0.75791,0.37166,1.39573,1.55592,3.07388,0.00105601,0.00105601,0.00105601
7,104.786,1.23835,1.17063,2.59706,0.84228,0.83771,0.8202,0.49452,1.33242,1.12709,2.97543,0.00104501,0.00104501,0.00104501
8,118.617,1.24022,1.17814,2.68896,0.83499,0.8163,0.83454,0.47466,1.35192,1.19769,2.97995,0.00103401,0.00103401,0.00103401
9,132.608,1.22527,1.1817,2.61108,0.85565,0.84017,0.83371,0.51799,1.27661,1.01367,2.90862,0.00102301,0.00102301,0.00102301
10,146.508,1.19436,1.12167,2.5532,0.83062,0.85128,0.87771,0.51861,1.26765,1.10957,3.00473,0.00101201,0.00101201,0.00101201
11,160.545,1.1717,1.09194,2.51574,0.8411,0.87165,0.86089,0.50842,1.34005,1.03331,2.98708,0.00100101,0.00100101,0.00100101
12,174.705,1.20319,1.08656,2.57571,0.83835,0.87195,0.88407,0.53463,1.25212,1.00163,2.94309,0.000990012,0.000990012,0.000990012
13,188.949,1.17229,1.08399,2.58042,0.85801,0.83319,0.85046,0.52686,1.28029,1.07035,2.92561,0.000979013,0.000979013,0.000979013
14,203.028,1.15405,1.07914,2.57105,0.78026,0.88108,0.87667,0.52774,1.29609,0.97985,2.96305,0.000968014,0.000968014,0.000968014
15,217.309,1.15203,1.05602,2.52511,0.82136,0.8911,0.91716,0.55801,1.21701,1.00875,2.87869,0.000957015,0.000957015,0.000957015
16,231.863,1.11783,1.02891,2.56175,0.78923,0.86759,0.9167,0.56266,1.21902,1.08695,2.90483,0.000946016,0.000946016,0.000946016
17,246.328,1.12638,1.05057,2.55418,0.81767,0.82588,0.82589,0.53655,1.25307,1.02424,2.93581,0.000935018,0.000935018,0.000935018
18,260.636,1.09227,1.00104,2.538,0.8301,0.85728,0.84894,0.5479,1.25416,0.9737,2.93083,0.000924019,0.000924019,0.000924019
19,274.966,1.08858,1.01211,2.52053,0.86309,0.84035,0.8969,0.56563,1.2314,0.88638,3.00722,0.00091302,0.00091302,0.00091302
20,289.647,1.07544,0.99772,2.53695,0.80886,0.85478,0.88605,0.55467,1.26957,1.00531,3.01479,0.000902021,0.000902021,0.000902021
21,304.041,1.07161,0.96611,2.48958,0.88649,0.87906,0.9135,0.56954,1.22646,0.83106,2.89184,0.000891022,0.000891022,0.000891022
22,318.534,1.09945,0.97286,2.55214,0.83549,0.8844,0.89842,0.56897,1.16399,0.89365,2.83395,0.000880023,0.000880023,0.000880023
23,333.139,1.07275,0.98027,2.49899,0.88903,0.82026,0.84973,0.54586,1.2021,0.98865,2.96849,0.000869024,0.000869024,0.000869024
24,347.624,1.05921,0.94758,2.47614,0.75787,0.80484,0.83631,0.53721,1.21036,0.98844,2.86393,0.000858025,0.000858025,0.000858025
25,362.03,1.05129,0.94922,2.47649,0.8304,0.82687,0.86443,0.5418,1.18407,0.98038,2.94579,0.000847026,0.000847026,0.000847026
26,376.581,1.01919,0.93273,2.45518,0.87509,0.83431,0.90239,0.58029,1.15853,0.91028,2.8307,0.000836027,0.000836027,0.000836027
27,391.118,1.04042,0.92973,2.49704,0.87787,0.85111,0.86104,0.54738,1.25624,0.97795,2.95179,0.000825029,0.000825029,0.000825029
28,405.505,1.02538,0.91248,2.47013,0.83524,0.82966,0.86254,0.56299,1.20021,0.89089,2.92254,0.00081403,0.00081403,0.00081403
29,419.987,1.02263,0.8901,2.41943,0.88495,0.85827,0.89753,0.57544,1.19533,0.8758,2.88495,0.000803031,0.000803031,0.000803031
30,434.457,1.01411,0.90137,2.41151,0.88749,0.84974,0.91293,0.59763,1.14367,0.86455,2.91556,0.000792032,0.000792032,0.000792032
31,452.393,0.99046,0.87563,2.42624,0.8927,0.85543,0.89082,0.58333,1.20772,0.80304,2.88525,0.000781033,0.000781033,0.000781033
32,466.891,0.99434,0.89949,2.43727,0.81727,0.83435,0.85489,0.55562,1.2171,0.92418,2.97201,0.000770034,0.000770034,0.000770034
33,481.501,0.99369,0.90702,2.40831,0.813,0.87678,0.87906,0.5663,1.21709,0.86178,2.95226,0.000759035,0.000759035,0.000759035
34,496.207,1.00584,0.89531,2.442,0.81522,0.82563,0.88434,0.56727,1.20707,0.98619,2.87934,0.000748036,0.000748036,0.000748036
35,510.872,1.00117,0.92519,2.44285,0.88446,0.87586,0.92518,0.58506,1.1644,0.87474,2.90158,0.000737037,0.000737037,0.000737037
36,525.368,0.97993,0.86685,2.42612,0.77154,0.81252,0.84131,0.5123,1.26645,1.02407,2.95505,0.000726038,0.000726038,0.000726038
37,540.026,0.99597,0.89476,2.46209,0.8929,0.85596,0.89913,0.5729,1.1988,0.94537,2.93945,0.00071504,0.00071504,0.00071504
38,554.518,0.98195,0.87234,2.44676,0.84565,0.8087,0.85548,0.54014,1.20795,0.94171,2.89441,0.000704041,0.000704041,0.000704041
39,569.058,0.96147,0.84892,2.36985,0.8747,0.87741,0.89234,0.58427,1.12813,0.89783,2.86056,0.000693042,0.000693042,0.000693042
40,583.754,0.95337,0.83276,2.38735,0.88212,0.85486,0.89744,0.58434,1.20509,0.90155,2.93901,0.000682043,0.000682043,0.000682043
41,598.668,0.96063,0.85837,2.38002,0.85598,0.85386,0.87543,0.57814,1.20631,0.91022,2.99558,0.000671044,0.000671044,0.000671044
42,613.256,0.97221,0.86441,2.41468,0.80665,0.86587,0.87981,0.56127,1.18388,0.84264,2.9495,0.000660045,0.000660045,0.000660045
43,628.148,0.95578,0.84403,2.39311,0.76792,0.80564,0.8185,0.52427,1.12642,0.96243,2.94363,0.000649046,0.000649046,0.000649046
44,642.689,0.95982,0.82564,2.37479,0.85486,0.88539,0.89799,0.56374,1.16936,0.84971,3.01046,0.000638047,0.000638047,0.000638047
45,657.646,0.93574,0.80544,2.38337,0.78137,0.75931,0.80919,0.4884,1.28731,1.04268,3.08798,0.000627048,0.000627048,0.000627048
46,672.457,0.93339,0.8044,2.30526,0.8575,0.82881,0.87474,0.58328,1.10357,0.99315,2.81525,0.000616049,0.000616049,0.000616049
47,687.269,0.92604,0.8139,2.33102,0.74987,0.84845,0.86259,0.55176,1.15869,0.94222,2.95456,0.000605051,0.000605051,0.000605051
48,701.873,0.92872,0.79758,2.36257,0.84736,0.86152,0.84396,0.55065,1.18685,0.8472,2.95105,0.000594052,0.000594052,0.000594052
49,716.733,0.92318,0.78623,2.31346,0.84941,0.84564,0.8453,0.53905,1.20981,0.92264,3.05074,0.000583053,0.000583053,0.000583053
