epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.6038,2.64645,3.69544,3.54124,0.13378,0.17492,0.1343,0.05621,1.87927,2.65648,2.83275,0.000415412,0.000415412,0.000415412
2,138.266,1.83021,2.65697,2.45908,0.33039,0.53846,0.38395,0.19817,1.62161,2.20863,2.47168,0.000815603,0.000815603,0.000815603
3,217.71,1.64585,2.27603,2.19929,0.40022,0.60027,0.57293,0.30467,1.50811,1.84384,2.28112,0.00119929,0.00119929,0.00119929
4,296.007,1.53452,2.09459,2.06898,0.51677,0.69021,0.59612,0.33786,1.41999,1.56448,2.10909,0.00117575,0.00117575,0.00117575
5,366.169,1.43006,1.8915,1.9668,0.46854,0.64259,0.58764,0.34479,1.32644,1.55059,2.02797,0.001151,0.001151,0.001151
6,429.951,1.3666,1.79385,1.89364,0.5039,0.6822,0.62721,0.38747,1.26129,1.42806,1.97264,0.00112625,0.00112625,0.00112625
7,493.548,1.32441,1.71605,1.84437,0.63124,0.66644,0.71757,0.47718,1.11107,1.35608,1.83362,0.0011015,0.0011015,0.0011015
8,557.965,1.28096,1.66287,1.8005,0.55903,0.77332,0.69136,0.47486,1.13887,1.30487,1.83811,0.00107675,0.00107675,0.00107675
9,622.348,1.2526,1.61367,1.76925,0.74924,0.7445,0.75261,0.47408,1.21602,1.16331,1.92058,0.001052,0.001052,0.001052
10,686.955,1.22764,1.56684,1.75128,0.61502,0.69175,0.69505,0.49268,1.03815,1.15768,1.72256,0.00102725,0.00102725,0.00102725
11,751.284,1.18381,1.5238,1.713,0.62784,0.78832,0.71465,0.51863,0.9771,1.10432,1.64539,0.0010025,0.0010025,0.0010025
12,817.74,1.16079,1.48509,1.6854,0.62462,0.77072,0.72962,0.52281,0.97222,1.02095,1.63679,0.00097775,0.00097775,0.00097775
13,882.999,1.1644,1.46281,1.67343,0.56615,0.75237,0.72875,0.51798,0.96474,1.19411,1.61994,0.000953,0.000953,0.000953
14,949.497,1.1409,1.4427,1.66299,0.59276,0.73791,0.71758,0.52129,0.97487,1.10902,1.61414,0.00092825,0.00092825,0.00092825
15,1017.57,1.11367,1.40218,1.63979,0.63198,0.74452,0.73553,0.53743,0.96572,1.06494,1.62332,0.0009035,0.0009035,0.0009035
16,1082.91,1.10393,1.38722,1.62872,0.58819,0.7496,0.63578,0.45877,0.93208,1.34657,1.58245,0.00087875,0.00087875,0.00087875
17,1147.45,1.08743,1.35375,1.60869,0.67852,0.79674,0.78217,0.58085,0.93598,1.01809,1.57745,0.000854,0.000854,0.000854
18,1211.91,1.07672,1.33848,1.60722,0.6989,0.70213,0.76561,0.56985,0.89852,0.97975,1.53927,0.00082925,0.00082925,0.00082925
19,1278.39,1.06802,1.30245,1.58465,0.62824,0.81998,0.76235,0.56099,0.87075,0.99315,1.49908,0.0008045,0.0008045,0.0008045
20,1346.92,1.05337,1.28465,1.57457,0.67952,0.7092,0.75494,0.56594,0.88731,1.10299,1.54715,0.00077975,0.00077975,0.00077975
21,1418.39,1.05409,1.27777,1.567,0.64133,0.75697,0.77,0.5898,0.84123,1.00775,1.49006,0.000755,0.000755,0.000755
22,1486.82,1.03909,1.25951,1.55239,0.66447,0.76704,0.78048,0.58331,0.89351,0.97796,1.5361,0.00073025,0.00073025,0.00073025
23,1556.02,1.02653,1.23428,1.54701,0.63138,0.72743,0.76718,0.57084,0.9031,1.20864,1.55315,0.0007055,0.0007055,0.0007055
24,1648.11,1.02094,1.21793,1.53662,0.63542,0.74796,0.78327,0.59701,0.89348,1.12885,1.52852,0.00068075,0.00068075,0.00068075
25,1728.52,1.01422,1.2022,1.52639,0.66815,0.80382,0.781,0.58465,0.90637,1.04048,1.53061,0.000656,0.000656,0.000656
26,1798.63,0.99586,1.17727,1.50645,0.66504,0.76214,0.78044,0.60208,0.86155,0.82618,1.48449,0.00063125,0.00063125,0.00063125
27,1864.6,0.99512,1.18237,1.51734,0.73953,0.71085,0.7933,0.5906,0.89203,0.91251,1.52563,0.0006065,0.0006065,0.0006065
28,1931.46,0.98845,1.16777,1.50289,0.68916,0.75614,0.80138,0.60977,0.8541,1.01624,1.5103,0.00058175,0.00058175,0.00058175
29,1998.19,0.98497,1.1624,1.50047,0.76104,0.73293,0.81445,0.60873,0.92532,0.8857,1.59233,0.000557,0.000557,0.000557
30,2066.15,0.97872,1.14603,1.49045,0.74088,0.77792,0.82544,0.62287,0.87231,0.84247,1.50695,0.00053225,0.00053225,0.00053225
31,2133.77,0.97146,1.12592,1.48694,0.77811,0.73071,0.81043,0.6177,0.84861,0.76071,1.4898,0.0005075,0.0005075,0.0005075
32,2200.82,0.96216,1.11495,1.47243,0.71443,0.7995,0.82094,0.62636,0.87501,0.91866,1.51678,0.00048275,0.00048275,0.00048275
33,2268.42,0.95343,1.10308,1.46575,0.79273,0.6677,0.81388,0.62287,0.87309,0.93069,1.52321,0.000458,0.000458,0.000458
34,2335.74,0.93917,1.0769,1.45443,0.84919,0.69831,0.82461,0.63194,0.85451,0.7663,1.50306,0.00043325,0.00043325,0.00043325
35,2403.44,0.94434,1.07316,1.45929,0.70353,0.8173,0.82195,0.63547,0.84435,0.81564,1.49138,0.0004085,0.0004085,0.0004085
36,2469.9,0.93541,1.05268,1.4559,0.79785,0.7188,0.82249,0.64123,0.84678,0.81733,1.48852,0.00038375,0.00038375,0.00038375
37,2536.65,0.92017,1.03571,1.43912,0.77106,0.77694,0.84128,0.64359,0.8456,0.70499,1.48635,0.000359,0.000359,0.000359
38,2603.14,0.92342,1.04212,1.436,0.80032,0.71107,0.82626,0.63414,0.83224,0.80635,1.47155,0.00033425,0.00033425,0.00033425
39,2670.03,0.91874,1.02698,1.43571,0.87514,0.69308,0.82699,0.63816,0.83531,0.75915,1.46982,0.0003095,0.0003095,0.0003095
40,2736.36,0.91764,1.01381,1.43318,0.80525,0.65364,0.82086,0.62439,0.86918,0.93177,1.52875,0.00028475,0.00028475,0.00028475
41,2833.93,0.85204,0.77783,1.45501,0.7353,0.78476,0.81265,0.61671,0.86119,0.80747,1.49713,0.00026,0.00026,0.00026
42,2898.86,0.83476,0.74753,1.44273,0.82923,0.70544,0.83326,0.64116,0.83365,0.78455,1.4669,0.00023525,0.00023525,0.00023525
43,2963.66,0.81596,0.71445,1.41724,0.75186,0.79516,0.84313,0.64895,0.84753,0.75844,1.48549,0.0002105,0.0002105,0.0002105
44,3028.23,0.81046,0.70438,1.41125,0.76196,0.80306,0.84639,0.65136,0.87221,0.76519,1.50695,0.00018575,0.00018575,0.00018575
45,3093.07,0.7989,0.68147,1.39614,0.79635,0.8042,0.84907,0.65256,0.83204,0.71911,1.46663,0.000161,0.000161,0.000161
46,3157.69,0.78643,0.66208,1.38887,0.77777,0.7866,0.83905,0.64267,0.82221,0.78152,1.45494,0.00013625,0.00013625,0.00013625
47,3222.19,0.77867,0.66454,1.38271,0.78647,0.79382,0.8372,0.64353,0.83392,0.81811,1.4734,0.0001115,0.0001115,0.0001115
48,3287.08,0.77265,0.63374,1.37133,0.80943,0.80744,0.85503,0.66023,0.83877,0.69995,1.47558,8.675e-05,8.675e-05,8.675e-05
49,3351.65,0.77369,0.64535,1.37387,0.78771,0.80158,0.85234,0.65738,0.82619,0.73678,1.46749,6.2e-05,6.2e-05,6.2e-05
50,3416.31,0.75965,0.62904,1.35576,0.74969,0.83371,0.84158,0.64962,0.82436,0.73866,1.46349,3.725e-05,3.725e-05,3.725e-05
